"","studygroup","pellgrant","science","socsci","specificity","constructiveness","positivity","whitestudent","female","relgrade","femalefaculty","facultygrades","yrs_experience","class_size","student_num"
"60",3,1,0,1,3.33333325386047,3.33333325386047,4,1,0,0.985074639320374,0,1.00712335109711,3,3,1077
"61",1,0,0,1,1,1.66666662693024,5,1,0,0.980132460594177,0,1.00712335109711,3,3,501
"62",1,0,0,1,2.33333325386047,2.66666674613953,4,1,1,0.942857146263123,0,1.00712335109711,3,2,1167
"63",2,0,0,1,2.66666674613953,3.33333325386047,3.33333325386047,1,0,1.09589040279388,0,1.00712335109711,3,3,592
"64",1,0,0,1,2.66666674613953,3,4,0,1,0.961038947105408,0,1.00712335109711,3,2,1196
"65",3,0,0,1,3,2.33333325386047,5,0,1,0.980132460594177,0,1.00712335109711,3,3,1130
"66",2,0,0,1,2.33333325386047,2,5,1,1,1.06720507144928,0,1.00712335109711,3,3,1255
"67",1,0,0,1,1.66666662693024,2.33333325386047,3,1,0,1.03896105289459,0,1.01768028736115,3,1,1241
"68",1,0,0,1,4.33333349227905,4,4,0,1,1,0,1.01768028736115,3,2,84
"69",1,0,0,1,3.66666674613953,3,4.66666650772095,1,1,1,0,1.01768028736115,3,2,110
"70",1,0,0,1,4.66666650772095,4.66666650772095,4.33333349227905,1,1,0.980132460594177,0,1.01768028736115,3,2,13
"71",2,0,0,1,4.33333349227905,4,3,1,0,0.923076927661896,0,1.01768028736115,3,2,215
"72",1,0,0,1,1,1.66666662693024,5,0,0,1.13846158981323,0,1.01768028736115,3,2,255
"73",3,0,0,1,2.66666674613953,2.33333325386047,4.66666650772095,1,0,1.24528300762177,0,1.01768028736115,3,2,559
"74",2,0,0,1,4.33333349227905,2.66666674613953,5,1,1,1.04302477836609,0,1.01768028736115,3,2,206
"75",1,0,0,1,1.33333337306976,2,5,1,0,1.02777779102325,0,1.01768028736115,3,2,804
"76",1,0,0,1,4,2.66666674613953,5,0,0,0.942857146263123,0,1.01768028736115,3,2,365
"77",3,0,0,1,1.66666662693024,2,5,0,0,1.08029198646545,0,1.01768028736115,3,2,383
"78",3,0,0,1,4.33333349227905,3,5,1,0,0.923076927661896,0,1.01768028736115,3,2,360
"79",3,0,0,1,2,2,5,1,1,1.03896105289459,0,1.01768028736115,3,2,524
"80",2,0,0,1,2,2,5,0,1,0.992481172084808,0,1.01768028736115,3,2,441
"81",1,0,0,1,2.66666674613953,2,5,1,0,1.00680267810822,0,1.01768028736115,3,2,438
"82",2,0,0,1,2.66666674613953,2.33333325386047,5,1,0,0.887096762657166,0,1.01768028736115,3,1,1404
"83",3,0,0,1,1.33333337306976,2,5,1,0,1.03496503829956,0,1.01768028736115,3,2,366
"84",2,0,0,1,1.66666662693024,2.33333325386047,3,1,0,1,0,1.01768028736115,3,2,515
"85",3,0,0,1,3.66666674613953,3,5,0,1,0.961038947105408,0,1.01768028736115,3,2,628
"86",3,1,0,1,3.33333325386047,2.66666674613953,5,0,1,1,0,1.01768028736115,3,1,1325
"87",2,0,0,1,1,1.66666662693024,5,1,1,0.923076927661896,0,1.01768028736115,3,2,711
"88",2,0,0,1,3.66666674613953,3,5,1,1,1,0,1.01768028736115,3,2,485
"89",3,0,0,1,3.66666674613953,2.33333325386047,5,0,0,1.13846158981323,0,1.01768028736115,3,2,177
"90",3,0,0,1,4.66666650772095,3.66666674613953,2.33333325386047,1,1,0.897959172725677,0,1.01768028736115,3,2,773
"91",2,1,0,1,1,1.66666662693024,5,0,0,1.200119972229,0,1.01768028736115,3,2,671
"92",1,0,0,1,1,1.66666662693024,5,0,0,NA,0,1.01768028736115,3,2,538
"93",1,0,0,1,2.33333325386047,2,5,1,1,0.952380955219269,0,1.01768028736115,3,2,150
"94",2,1,0,1,4.66666650772095,3.33333325386047,5,1,0,1,0,1.01768028736115,3,2,232
"95",2,0,0,1,2,2,5,1,0,0.973684251308441,0,1.01768028736115,3,1,1262
"96",1,0,0,1,3.33333325386047,2.66666674613953,4.66666650772095,1,0,0.942675173282623,0,1.01768028736115,3,2,170
"97",1,0,0,1,3.66666674613953,3.33333325386047,5,0,0,1.16504859924316,0,1.01768028736115,3,2,494
"98",1,0,0,1,1,1.66666662693024,5,0,1,0.942857146263123,0,1.01768028736115,3,2,29
"99",2,0,0,1,1.33333337306976,1.66666662693024,5,0,0,1.19262742996216,0,1.01768028736115,3,2,274
"100",1,1,0,1,3,4,1.66666662693024,1,0,1,0,1.01768028736115,3,1,1236
"101",2,0,0,1,2.66666674613953,2.33333325386047,5,1,0,0.986666679382324,0,1.01768028736115,3,1,1137
"102",2,0,0,1,2.33333325386047,2.33333325386047,5,0,0,1.03896105289459,0,1.01768028736115,3,2,164
"103",1,0,0,0,4.33333349227905,3.33333325386047,3.66666674613953,1,1,1.01910829544067,1,1.03257501125336,3,1,74
"104",3,1,0,0,4.33333349227905,3,5,1,1,1.01910829544067,1,1.03257501125336,3,1,254
"105",2,0,0,0,5,3.33333325386047,5,1,1,1.11888110637665,1,1.03257501125336,3,1,711
"106",1,0,0,0,4,3,4.66666650772095,0,1,NA,1,1.03257501125336,3,1,156
"107",3,0,0,0,4.33333349227905,2,4.66666650772095,1,1,1.01910829544067,1,1.03257501125336,3,2,620
"108",3,0,0,0,4.66666650772095,4.33333349227905,2,0,1,0.901639342308044,1,1.03257501125336,3,2,1379
"109",2,0,0,0,3,2.33333325386047,5,1,0,1.04575169086456,1,1.03257501125336,3,2,1037
"110",2,0,0,0,5,4.66666650772095,3.66666674613953,1,1,0.948717951774597,1,1.03257501125336,3,2,1374
"111",2,0,0,0,3.33333325386047,3.33333325386047,1,1,1,0.92800897359848,1,1.03257501125336,3,2,557
"112",1,0,0,0,4.33333349227905,2.66666674613953,5,1,1,1.06666672229767,1,1.03257501125336,3,2,599
"113",2,0,0,0,2.33333325386047,2.33333325386047,5,0,1,1.02777779102325,1,1.03257501125336,3,1,64
"114",1,0,0,0,5,3.66666674613953,5,1,1,0.948717951774597,1,1.03257501125336,3,2,1164
"115",1,0,0,0,4,2.33333325386047,4.33333349227905,1,1,1,1,1.03257501125336,3,2,987
"116",1,0,0,0,5,4,4.66666650772095,0,1,0.942857146263123,1,1.03257501125336,3,1,19
"117",1,0,0,0,4.66666650772095,3.66666674613953,4,1,1,1.57446813583374,1,1.03257501125336,3,1,154
"118",1,0,0,0,1.66666662693024,2.33333325386047,5,1,0,1.08029198646545,1,1.03257501125336,3,2,1099
"119",3,1,0,0,2.33333325386047,2.33333325386047,4,0,0,1.07843136787415,1,1.03257501125336,3,1,1012
"120",1,0,0,0,3.33333325386047,2.33333325386047,4.66666650772095,0,1,0.961038947105408,1,1.03257501125336,3,1,145
"121",1,1,0,0,3.66666674613953,3.33333325386047,5,0,0,1.02777779102325,1,1.03257501125336,3,2,1176
"122",2,0,0,0,1.33333337306976,1.66666662693024,5,0,0,1.04964542388916,1,1.03257501125336,3,2,1298
"123",2,0,0,0,3,2.33333325386047,4,1,1,1.04137349128723,1,1.03257501125336,3,1,266
"124",2,0,0,0,3,1.66666662693024,5,0,1,1.02777779102325,1,1.03257501125336,3,2,984
"125",3,0,0,0,1.66666662693024,2.33333325386047,5,0,0,NA,1,1.03257501125336,3,1,597
"126",3,0,0,0,2.33333325386047,3,3.33333325386047,1,1,0.961038947105408,1,1.03257501125336,3,2,1232
"127",2,0,0,0,5,3,5,1,0,0.961038947105408,1,1.03257501125336,3,1,774
"128",3,0,0,1,4,1.66666662693024,5,0,1,0.897959172725677,0,0.91345202922821,3,3,3
"129",1,0,0,1,4.33333349227905,2.66666674613953,4.33333349227905,1,0,1,0,0.91345202922821,3,4,102
"130",3,0,0,1,3,3.66666674613953,3.66666674613953,0,1,0.980132460594177,0,0.91345202922821,3,4,222
"131",2,0,0,1,5,5,3.33333325386047,1,0,0.816326558589935,0,0.91345202922821,3,4,793
"132",3,0,0,1,3.66666674613953,4,3,1,1,0.942675173282623,0,0.91345202922821,3,4,74
"133",3,0,0,1,2.33333325386047,2.66666674613953,4.33333349227905,1,0,0.97488921880722,0,0.91345202922821,3,3,447
"134",2,0,0,1,2,2.33333325386047,3,1,1,0.961038947105408,0,0.91345202922821,3,3,175
"135",1,0,0,1,2.66666674613953,3,4.66666650772095,1,1,1.01910829544067,0,0.91345202922821,3,4,380
"136",2,0,0,1,2.66666674613953,3.33333325386047,4,1,0,1,0,0.91345202922821,3,3,429
"137",1,0,0,1,2.33333325386047,3.33333325386047,2.66666674613953,0,0,1,0,0.91345202922821,3,3,9
